participant,lex,spell,resp,rt,prev.rt,rt.raw,accuracy
20,N,staud,N,977,511,977,TRUE
9,N,dinbuss,N,565,765,565,TRUE
47,N,snilling,N,562,496,562,TRUE
103,N,gancens,N,572,656,572,TRUE
45,W,filled,W,659,981,659,TRUE
73,W,journals,W,538,1505,538,TRUE
24,W,apache,W,626,546,626,TRUE
11,W,flake,W,566,717,566,TRUE
32,W,reliefs,W,922,1471,922,TRUE
96,N,sarves,N,555,806,555,TRUE
82,W,deceits,W,657,728,657,TRUE
37,W,nothings,N,NA,552,712,FALSE
52,N,chuespies,N,427,539,427,TRUE
96,N,mowny,N,1352,1020,1352,TRUE
96,N,cranned,N,907,573,907,TRUE
89,N,flud,N,742,834,742,TRUE
3,N,bromble,N,523,502,523,TRUE
7,N,trubbles,N,782,458,782,TRUE
35,N,playfound,N,643,663,643,TRUE
46,W,mirage,W,778,571,778,TRUE
65,N,whimed,N,729,1371,729,TRUE
28,W,stelae,N,NA,678,497,FALSE
85,W,forewarned,N,NA,525,350,FALSE
46,N,prazing,N,618,555,618,TRUE
75,W,poser,W,696,519,696,TRUE
35,N,coubrerve,N,876,656,876,TRUE
36,W,outposts,W,560,461,560,TRUE
24,W,owl,W,470,535,470,TRUE
14,N,lart,N,599,684,599,TRUE
97,W,soda,W,436,447,436,TRUE
17,N,notter,N,523,605,523,TRUE
18,N,tesslier,N,560,477,560,TRUE
54,W,curbs,W,697,653,697,TRUE
81,N,fugate,N,425,403,425,TRUE
105,N,pamps,N,NA,884,1494,TRUE
27,W,outgrowth,N,NA,633,1014,FALSE
43,N,eitbrows,N,774,650,774,TRUE
89,W,chards,N,NA,545,754,FALSE
89,N,cyrios,N,611,563,611,TRUE
29,N,placker,N,542,558,542,TRUE
82,W,kitty,W,431,476,431,TRUE
90,W,mingled,W,637,558,637,TRUE
78,N,feas,N,515,498,515,TRUE
82,W,cluck,W,576,694,576,TRUE
42,N,pinding,N,609,528,609,TRUE
6,N,checsons,N,491,555,491,TRUE
97,N,gruckle,N,618,1505,618,TRUE
74,W,pianists,W,634,555,634,TRUE
90,W,deface,W,1297,2413,1297,TRUE
72,N,gright,N,430,675,430,TRUE
21,N,ditted,N,719,644,719,TRUE
66,N,freethyme,N,494,491,494,TRUE
63,N,shrudule,N,NA,0,2553,TRUE
54,N,tincers,N,623,1027,623,TRUE
73,W,chiggers,N,NA,726,654,FALSE
73,N,bunding,W,NA,978,1279,FALSE
79,W,bracing,W,563,615,563,TRUE
7,N,sperting,N,682,655,682,TRUE
82,N,qunglier,N,816,510,816,TRUE
9,N,rurtles,N,783,677,783,TRUE
68,N,sloms,N,451,547,451,TRUE
19,N,jontage,N,413,471,413,TRUE
103,W,guzzle,W,652,491,652,TRUE
44,W,snows,W,437,432,437,TRUE
10,W,gaudier,W,877,675,877,TRUE
13,N,lavo,N,479,510,479,TRUE
31,W,greets,W,588,523,588,TRUE
17,N,basyl,N,413,508,413,TRUE
36,W,droppers,W,530,497,530,TRUE
7,N,pladd,N,469,534,469,TRUE
71,W,rightly,W,574,510,574,TRUE
64,W,demur,W,730,588,730,TRUE
22,W,aitches,N,NA,521,665,FALSE
21,W,bosk,N,NA,608,1532,FALSE
46,N,sprindsok,N,459,506,459,TRUE
17,W,hauteur,N,NA,479,789,FALSE
29,W,armchairs,W,516,499,516,TRUE
11,N,advioned,N,NA,1249,1685,TRUE
14,N,filkly,N,469,533,469,TRUE
53,N,changles,N,657,645,657,TRUE
52,N,sporade,N,405,516,405,TRUE
67,W,basking,W,585,686,585,TRUE
27,N,steckle,N,407,535,407,TRUE
103,W,apace,N,NA,529,514,FALSE
37,W,punchy,W,576,678,576,TRUE
74,N,grug,N,641,529,641,TRUE
27,N,hitpes,N,600,636,600,TRUE
63,W,mouthing,W,533,816,533,TRUE
75,W,subbing,N,NA,695,1120,FALSE
94,N,scoodit,N,496,761,496,TRUE
73,W,replays,W,574,692,574,TRUE
41,N,snum,N,739,580,739,TRUE
103,N,renangue,N,828,590,828,TRUE
20,N,sirepreps,N,560,594,560,TRUE
13,W,bowels,W,454,616,454,TRUE
36,W,revived,W,664,652,664,TRUE
29,W,spoilers,W,531,532,531,TRUE
10,N,rathprief,N,695,669,695,TRUE
55,W,mummy,W,677,685,677,TRUE
3,W,gleam,W,361,370,361,TRUE
53,N,reenives,N,581,667,581,TRUE
7,N,anthorse,N,589,575,589,TRUE
63,N,gallays,W,NA,589,923,FALSE
67,W,reflux,N,NA,566,790,FALSE
50,N,droper,W,NA,741,573,FALSE
97,N,flarns,N,843,555,843,TRUE
12,N,lirms,N,578,829,578,TRUE
96,N,groshing,N,1113,1670,1113,TRUE
45,N,rorry,N,540,689,540,TRUE
16,W,chessboards,N,NA,918,1078,FALSE
9,W,bight,N,NA,1027,927,FALSE
74,W,invoice,W,519,567,519,TRUE
85,N,hirrs,N,485,467,485,TRUE
10,N,roed,N,641,778,641,TRUE
97,N,stothed,N,584,836,584,TRUE
14,W,daftness,W,685,607,685,TRUE
86,W,offshoot,W,914,745,914,TRUE
75,W,accept,W,738,598,738,TRUE
32,N,griteings,N,496,577,496,TRUE
37,N,dapmen,N,668,589,668,TRUE
96,W,desists,N,NA,747,610,FALSE
11,W,hygiene,W,493,541,493,TRUE
97,N,shrodgen,N,512,645,512,TRUE
30,N,pleasland,N,654,559,654,TRUE
105,N,prantine,N,595,581,595,TRUE
81,N,pisi,N,464,528,464,TRUE
6,N,flooder,W,NA,524,557,FALSE
68,N,stunch,N,491,805,491,TRUE
29,W,tango,W,577,479,577,TRUE
32,W,carboys,N,NA,39,460,FALSE
46,W,roger,W,579,581,579,TRUE
44,W,wordplay,W,673,428,673,TRUE
88,W,breeches,W,599,684,599,TRUE
21,N,blosished,N,545,528,545,TRUE
42,N,harepare,N,803,1163,803,TRUE
13,W,stringent,N,NA,566,566,FALSE
53,W,shoaled,W,616,819,616,TRUE
12,W,cut,W,528,511,528,TRUE
77,N,toming,N,541,692,541,TRUE
103,N,tevs,N,489,491,489,TRUE
20,N,straced,N,671,659,671,TRUE
97,W,bathrobes,W,609,479,609,TRUE
79,W,quails,W,757,549,757,TRUE
100,W,arab,W,677,666,677,TRUE
2,N,wainting,N,NA,650,1062,TRUE
67,N,cebscier,N,512,710,512,TRUE
50,N,isplo,N,1040,895,1040,TRUE
4,W,midship,W,470,483,470,TRUE
51,W,posit,N,NA,698,1026,FALSE
41,N,lorner,N,583,668,583,TRUE
73,N,khantum,W,NA,623,1355,FALSE
50,W,clap,W,715,739,715,TRUE
24,W,leaped,W,455,634,455,TRUE
52,N,wrink,N,735,543,735,TRUE
89,N,oud,N,418,362,418,TRUE
30,W,palm,W,539,989,539,TRUE
17,W,looks,W,365,407,365,TRUE
35,N,slalptors,N,599,618,599,TRUE
63,N,oux,N,711,701,711,TRUE
51,N,frot,N,NA,612,1649,TRUE
51,W,trumping,W,NA,670,2777,TRUE
54,N,clute,N,719,610,719,TRUE
42,W,scarp,W,494,642,494,TRUE
16,W,elapsed,N,NA,1109,687,FALSE
37,W,boggled,W,620,590,620,TRUE
20,W,beefing,N,NA,491,1725,FALSE
44,W,subscribed,W,509,475,509,TRUE
22,W,meanings,W,752,476,752,TRUE
81,N,seaped,W,NA,765,691,FALSE
101,W,inputs,W,600,419,600,TRUE
89,W,snatcher,W,506,1004,506,TRUE
10,N,gured,N,597,549,597,TRUE
50,N,spruttered,N,721,511,721,TRUE
14,W,buried,W,805,1066,805,TRUE
103,N,thushing,N,858,637,858,TRUE
2,N,tronculling,N,508,490,508,TRUE
54,N,cotee,N,898,794,898,TRUE
43,N,trabnate,N,510,542,510,TRUE
16,W,pooches,N,NA,453,489,FALSE
19,N,disploct,N,536,702,536,TRUE
75,N,splot,N,1353,737,1353,TRUE
51,N,guntiors,N,419,430,419,TRUE
28,W,sieves,W,1338,488,1338,TRUE
50,W,pogroms,N,NA,639,732,FALSE
12,W,withhold,W,631,651,631,TRUE
82,W,townscapes,N,NA,498,612,FALSE
89,W,magpie,W,662,634,662,TRUE
24,W,wafer,W,745,821,745,TRUE
9,N,flunched,N,1284,1081,1284,TRUE
43,W,backer,W,594,612,594,TRUE
22,N,baytimes,N,549,349,549,TRUE
44,W,backtrack,W,NA,651,1478,TRUE
68,N,druffled,N,556,422,556,TRUE
43,N,gafers,W,NA,556,812,FALSE
13,N,wicy,N,523,539,523,TRUE
94,W,heartbreak,W,493,525,493,TRUE
1,W,squashes,W,494,491,494,TRUE
35,W,stopgap,W,939,605,939,TRUE
79,W,mighty,W,691,814,691,TRUE
74,N,hooths,N,711,1935,711,TRUE
2,W,fluoresce,N,NA,434,437,FALSE
37,N,descust,N,531,648,531,TRUE
73,W,plank,N,NA,631,1939,FALSE
52,N,pereture,N,429,541,429,TRUE
1,W,chafing,W,601,720,601,TRUE
52,W,pushed,W,487,669,487,TRUE
37,W,variant,W,645,716,645,TRUE
66,N,doods,N,610,379,610,TRUE
75,N,dousleens,N,508,924,508,TRUE
94,N,deprished,N,904,436,904,TRUE
101,N,winchers,W,NA,632,852,FALSE
101,W,choke,W,517,716,517,TRUE
10,W,whistles,W,758,616,758,TRUE
68,W,wily,N,NA,723,636,FALSE
71,W,drinkers,W,633,771,633,TRUE
68,N,enjumed,N,524,473,524,TRUE
68,N,horches,N,738,796,738,TRUE
18,N,lesest,N,516,481,516,TRUE
31,N,tutties,N,717,724,717,TRUE
81,N,flaged,W,NA,674,609,FALSE
70,N,stalting,N,865,828,865,TRUE
64,W,beloved,W,783,893,783,TRUE
52,W,prophet,W,595,547,595,TRUE
11,N,frocker,W,NA,653,665,FALSE
65,N,dedume,N,613,599,613,TRUE
88,N,eints,N,527,1760,527,TRUE
12,N,losepays,W,NA,499,773,FALSE
41,N,cugged,N,465,395,465,TRUE
10,N,lirps,N,537,486,537,TRUE
47,W,kind,W,511,542,511,TRUE
27,N,vont,N,580,1081,580,TRUE
90,N,leansvold,N,524,490,524,TRUE
7,W,molds,W,485,489,485,TRUE
75,N,squave,N,656,812,656,TRUE
94,N,tratists,N,459,471,459,TRUE
1,N,cellies,N,792,652,792,TRUE
43,W,snatchers,W,599,768,599,TRUE
7,N,fread,N,573,707,573,TRUE
10,N,seagoves,N,1344,560,1344,TRUE
103,W,squirm,W,562,497,562,TRUE
103,W,chapter,W,474,583,474,TRUE
22,N,blounded,N,632,470,632,TRUE
19,W,fraught,W,633,900,633,TRUE
71,N,daggle,N,528,927,528,TRUE
4,W,labours,W,391,434,391,TRUE
68,W,rondeaux,N,NA,1226,942,FALSE
63,W,bought,W,537,637,537,TRUE
70,W,lifer,N,NA,641,573,FALSE
29,N,fordened,N,527,677,527,TRUE
105,N,fondism,N,827,541,827,TRUE
7,N,coltip,N,582,484,582,TRUE
96,N,hawls,W,NA,565,677,FALSE
101,N,lonk,N,770,564,770,TRUE
51,W,imprint,W,516,515,516,TRUE
73,N,gearly,N,1306,639,1306,TRUE
47,N,gots,N,664,602,664,TRUE
14,W,paisley,W,613,617,613,TRUE
65,W,savers,N,NA,1168,5815,FALSE
53,W,swilled,W,716,489,716,TRUE
31,N,hunned,N,792,539,792,TRUE
71,N,seiss,N,764,590,764,TRUE
43,W,slinks,W,860,589,860,TRUE
55,N,outflirt,N,NA,512,1505,TRUE
90,W,zipper,W,624,527,624,TRUE
79,W,creasing,W,559,509,559,TRUE
41,W,wiping,W,590,726,590,TRUE
32,W,tonal,W,678,500,678,TRUE
73,W,granules,W,1056,728,1056,TRUE
24,N,cleld,N,513,545,513,TRUE
52,N,foaped,N,694,784,694,TRUE
94,W,strangeness,W,508,522,508,TRUE
7,N,cupbils,N,565,699,565,TRUE
82,W,searches,W,705,528,705,TRUE
13,W,drains,W,565,484,565,TRUE
44,W,jousting,W,518,417,518,TRUE
90,W,glints,W,898,680,898,TRUE
73,W,options,W,550,1383,550,TRUE
75,N,douchers,N,1397,566,1397,TRUE
68,W,greed,W,505,653,505,TRUE
100,N,doobs,N,431,710,431,TRUE
24,W,bunnies,W,668,623,668,TRUE
86,W,outlaw,W,576,495,576,TRUE
19,N,reriege,N,765,876,765,TRUE
47,N,ingreed,N,556,557,556,TRUE
16,W,careful,W,1297,1578,1297,TRUE
17,N,airplop,N,389,399,389,TRUE
21,N,baytime,N,1437,1511,1437,TRUE
3,W,flayed,W,495,893,495,TRUE
79,N,shundy,N,646,634,646,TRUE
10,W,prolix,N,NA,439,380,FALSE
7,W,linesmen,W,552,620,552,TRUE
9,N,chass,N,686,525,686,TRUE
41,W,murphy,N,NA,522,811,FALSE
35,W,woes,W,461,457,461,TRUE
30,W,gladly,W,655,643,655,TRUE
27,W,yeah,W,445,1207,445,TRUE
22,N,meety,N,463,492,463,TRUE
65,N,concugged,N,830,758,830,TRUE
22,N,brandmess,N,578,1230,578,TRUE
28,N,disharge,N,573,574,573,TRUE
32,N,krifo,N,508,607,508,TRUE
101,N,couthing,N,1004,557,1004,TRUE
30,W,sew,N,NA,473,524,FALSE
90,W,cloaking,W,643,NA,643,TRUE
66,N,towid,N,756,1681,756,TRUE
10,N,likyer,N,747,807,747,TRUE
97,N,feasings,N,585,555,585,TRUE
82,N,lautch,N,550,1301,550,TRUE
21,W,misty,W,665,523,665,TRUE
1,W,shafting,W,553,571,553,TRUE
100,N,pimba,N,433,512,433,TRUE
31,N,ceme,N,595,597,595,TRUE
81,N,prolf,N,637,508,637,TRUE
65,W,galleys,W,760,603,760,TRUE
2,W,tweaks,W,508,474,508,TRUE
32,W,twitchers,W,528,510,528,TRUE
45,N,behecks,N,562,729,562,TRUE
32,N,hootman,N,838,568,838,TRUE
85,N,waffs,N,506,471,506,TRUE
35,N,toge,N,475,638,475,TRUE
64,N,seemstone,N,732,1006,732,TRUE
86,W,only,W,412,586,412,TRUE
63,N,remper,W,NA,639,1004,FALSE
64,W,fishbone,N,NA,683,582,FALSE
11,W,wreathe,N,NA,510,528,FALSE
70,N,ashdess,N,NA,510,2256,TRUE
21,N,strureened,N,1122,865,1122,TRUE
44,W,loopy,W,402,381,402,TRUE
22,N,hovetout,N,957,712,957,TRUE
16,W,resin,W,NA,620,1576,TRUE
92,N,hoach,N,675,998,675,TRUE
84,W,breathe,W,766,442,766,TRUE
7,W,chile,N,NA,724,1004,FALSE
13,N,covver,N,1160,635,1160,TRUE
81,N,betpress,N,428,623,428,TRUE
51,W,condoned,W,436,531,436,TRUE
34,W,jibs,N,NA,781,756,FALSE
4,W,warlike,W,444,490,444,TRUE
14,W,ails,W,524,540,524,TRUE
28,N,cown,W,NA,680,498,FALSE
44,W,wig,W,596,665,596,TRUE
85,W,fowler,W,1330,431,1330,TRUE
14,N,nagur,N,539,639,539,TRUE
75,W,stoke,W,776,786,776,TRUE
105,N,quiggling,N,732,541,732,TRUE
50,N,chud,N,724,682,724,TRUE
73,W,scalded,W,924,574,924,TRUE
84,N,spanges,N,979,797,979,TRUE
37,N,dischair,N,571,473,571,TRUE
29,N,sillen,N,708,548,708,TRUE
45,W,burnished,W,732,691,732,TRUE
27,N,sasbers,N,488,652,488,TRUE
85,N,trunches,W,NA,372,762,FALSE
44,N,rainfoot,N,632,435,632,TRUE
14,W,beatings,W,491,754,491,TRUE
16,W,airedale,N,NA,1339,652,FALSE
44,N,chemper,N,430,475,430,TRUE
54,N,tomaged,N,639,559,639,TRUE
71,W,clockwork,W,513,478,513,TRUE
98,N,droor,N,481,628,481,TRUE
101,N,undrished,N,791,751,791,TRUE
10,W,symptoms,W,608,577,608,TRUE
81,W,catwalk,W,429,608,429,TRUE
7,W,shafting,W,518,533,518,TRUE
97,W,petalled,W,798,676,798,TRUE
67,N,kide,N,431,459,431,TRUE
46,N,gustored,N,879,709,879,TRUE
37,N,engliet,N,554,571,554,TRUE
72,W,stoppings,N,NA,940,1355,FALSE
21,W,cowgirls,W,785,763,785,TRUE
19,W,thaws,W,555,388,555,TRUE
45,N,tinchens,N,524,723,524,TRUE
29,N,quideing,N,483,513,483,TRUE
34,N,solboors,N,432,644,432,TRUE
6,W,tillage,N,NA,845,800,FALSE
79,N,borgrel,N,709,866,709,TRUE
74,W,wounds,W,457,603,457,TRUE
31,W,culled,W,511,793,511,TRUE
52,W,cantor,W,642,579,642,TRUE
105,W,planed,W,1044,533,1044,TRUE
6,W,helper,W,540,473,540,TRUE
47,W,tortures,W,543,594,543,TRUE
73,W,garbed,N,NA,576,1070,FALSE
64,N,hobtot,N,512,527,512,TRUE
68,N,howned,N,NA,522,2891,TRUE
17,W,joules,N,NA,501,423,FALSE
36,N,pildis,N,517,534,517,TRUE
98,N,crailbred,N,455,517,455,TRUE
67,N,brited,N,583,585,583,TRUE
68,W,glacial,W,542,610,542,TRUE
35,W,ratty,W,NA,435,1256,TRUE
18,N,ronings,N,490,487,490,TRUE
19,N,retond,N,767,573,767,TRUE
53,W,broomstick,W,449,478,449,TRUE
17,N,lutters,N,508,340,508,TRUE
85,W,twitted,W,NA,1029,2625,TRUE
34,W,meanings,W,468,498,468,TRUE
86,N,ayshay,N,705,1180,705,TRUE
73,N,phlorise,N,756,1115,756,TRUE
51,N,drulo,N,525,341,525,TRUE
98,N,nudgemark,N,504,519,504,TRUE
65,W,finders,W,861,691,861,TRUE
73,N,chirtage,N,709,866,709,TRUE
28,W,rotas,W,NA,1457,1436,TRUE
85,W,ambience,W,542,376,542,TRUE
45,W,lampooned,W,797,708,797,TRUE
24,N,guc,N,637,658,637,TRUE
67,W,phallic,W,576,777,576,TRUE
17,N,beeched,W,NA,450,469,FALSE
65,W,forenames,W,NA,471,4537,TRUE
103,N,wisked,N,NA,701,1159,TRUE
71,W,parterre,N,NA,692,717,FALSE
2,N,moanschaum,N,554,587,554,TRUE
97,W,pullout,W,446,826,446,TRUE
94,W,swirling,W,520,668,520,TRUE
50,W,busker,W,698,606,698,TRUE
55,W,dire,W,827,405,827,TRUE
11,N,dirtom,N,988,506,988,TRUE
98,W,niceness,W,575,360,575,TRUE
105,N,daving,N,628,633,628,TRUE
101,W,memo,W,578,545,578,TRUE
35,W,whiteness,W,497,962,497,TRUE
47,W,hubby,N,NA,608,926,FALSE
72,W,twain,N,NA,565,1012,FALSE
4,N,mandines,N,675,396,675,TRUE
35,W,bounced,W,493,409,493,TRUE
15,W,shipment,N,NA,674,445,FALSE
16,N,fapte,N,539,488,539,TRUE
54,N,almed,N,687,927,687,TRUE
12,N,porwide,N,655,526,655,TRUE
35,W,sleazy,W,631,368,631,TRUE
105,N,dinotts,N,787,662,787,TRUE
3,W,waistline,W,576,477,576,TRUE
37,N,whiddy,N,516,531,516,TRUE
92,N,crithing,N,955,639,955,TRUE
10,W,zebras,W,718,492,718,TRUE
46,N,sests,N,482,612,482,TRUE
77,W,germs,W,450,1147,450,TRUE
86,N,slibs,N,686,825,686,TRUE
15,W,keels,N,NA,677,479,FALSE
47,N,bowtin,N,634,821,634,TRUE
50,N,rentend,N,766,626,766,TRUE
94,N,hatchpock,N,559,726,559,TRUE
37,N,butched,N,876,606,876,TRUE
12,W,enthralled,W,1349,700,1349,TRUE
42,N,encuel,N,477,475,477,TRUE
7,W,duchess,W,757,549,757,TRUE
17,N,gingwim,N,370,580,370,TRUE
52,W,reject,W,528,812,528,TRUE
46,N,briskers,W,NA,736,1016,FALSE
8,W,sketched,W,549,884,549,TRUE
82,W,formic,W,672,544,672,TRUE
89,N,birms,N,429,459,429,TRUE
98,W,host,W,468,465,468,TRUE
43,W,lounger,W,1003,1038,1003,TRUE
16,W,handcuff,W,603,522,603,TRUE
14,W,moist,W,584,969,584,TRUE
54,W,leaky,W,885,1033,885,TRUE
82,W,lodes,N,NA,492,541,FALSE
14,W,cabal,N,NA,792,526,FALSE
70,W,consort,W,1375,659,1375,TRUE
52,N,nerncades,N,443,856,443,TRUE
77,W,yobs,W,522,1054,522,TRUE
34,N,reather,N,644,532,644,TRUE
89,N,flonish,N,466,512,466,TRUE
64,W,trickier,W,NA,649,1668,TRUE
103,N,orms,N,558,542,558,TRUE
71,W,smoothness,W,765,725,765,TRUE
67,N,lirince,N,506,904,506,TRUE
12,N,outshorn,N,933,599,933,TRUE
70,W,stables,W,514,696,514,TRUE
85,N,eightearch,N,428,539,428,TRUE
75,W,attain,W,1004,658,1004,TRUE
63,N,shash,N,504,818,504,TRUE
92,N,tointers,N,932,798,932,TRUE
89,W,batters,W,432,527,432,TRUE
4,N,thollby,N,442,404,442,TRUE
63,W,shred,W,1131,1121,1131,TRUE
21,N,decise,W,NA,653,711,FALSE
44,W,feasts,W,533,632,533,TRUE
75,N,ertrier,N,572,1223,572,TRUE
50,N,toze,N,576,593,576,TRUE
36,W,platefuls,N,NA,506,508,FALSE
89,N,thirbish,N,493,674,493,TRUE
30,N,reetside,N,735,659,735,TRUE
1,N,treeps,N,607,610,607,TRUE
42,W,icepack,W,574,476,574,TRUE
13,N,lohas,N,1010,629,1010,TRUE
36,W,soupçon,N,NA,483,502,FALSE
50,W,saddles,W,692,582,692,TRUE
22,W,sardine,W,545,429,545,TRUE
18,N,shong,N,511,494,511,TRUE
1,N,lisedess,N,679,619,679,TRUE
89,N,rals,N,472,486,472,TRUE
42,W,purchased,W,840,635,840,TRUE
68,N,systisse,N,465,511,465,TRUE
85,W,rote,N,NA,505,458,FALSE
