participant,lex,spell,resp,rt,prev.rt,rt.raw,accuracy
12,W,sunray,N,NA,1254,1082,FALSE
51,N,gancens,N,370,547,370,TRUE
92,W,coaxes,W,699,990,699,TRUE
19,N,skedening,N,657,1446,657,TRUE
81,N,tinsier,N,755,480,755,TRUE
1,N,hogtush,N,679,568,679,TRUE
63,N,virpers,N,477,374,477,TRUE
31,W,blackly,W,761,653,761,TRUE
46,W,revoke,W,482,546,482,TRUE
1,W,carport,W,779,605,779,TRUE
46,N,bathy,N,614,567,614,TRUE
70,N,vectue,N,584,469,584,TRUE
96,W,service,W,614,617,614,TRUE
24,N,pilt,N,646,617,646,TRUE
46,N,dadcons,N,693,933,693,TRUE
5,N,roze,N,495,543,495,TRUE
51,N,scyer,N,543,560,543,TRUE
31,W,dodgers,W,536,636,536,TRUE
3,W,monday,W,411,705,411,TRUE
18,N,firchly,N,520,535,520,TRUE
30,W,houseboys,N,NA,594,1006,FALSE
9,W,gleams,W,1192,787,1192,TRUE
55,W,pails,N,NA,506,601,FALSE
97,W,remits,W,544,577,544,TRUE
79,W,raring,W,1025,795,1025,TRUE
41,W,summonsed,N,NA,503,809,FALSE
34,N,massole,N,543,610,543,TRUE
100,W,hopeless,N,NA,593,335,FALSE
88,N,creeky,W,NA,664,1267,FALSE
7,N,graweers,N,553,654,553,TRUE
74,W,cuts,W,450,596,450,TRUE
42,W,what,W,699,556,699,TRUE
4,N,brearths,N,459,438,459,TRUE
88,N,innowed,N,701,988,701,TRUE
78,N,funches,N,673,578,673,TRUE
6,N,introse,N,1153,512,1153,TRUE
78,N,gassolled,N,NA,755,2362,TRUE
67,N,martikes,N,624,595,624,TRUE
20,N,glavers,N,NA,2096,1921,TRUE
92,W,sweatband,W,712,1535,712,TRUE
21,W,choke,W,669,592,669,TRUE
74,W,pitfalls,W,639,826,639,TRUE
20,N,rebiels,N,1490,580,1490,TRUE
12,W,jousts,W,788,799,788,TRUE
63,W,wreath,W,618,488,618,TRUE
100,W,couplet,W,522,388,522,TRUE
42,W,showed,W,530,730,530,TRUE
29,N,conforn,W,NA,495,497,FALSE
42,W,junking,N,NA,542,542,FALSE
9,W,crinkle,W,545,511,545,TRUE
82,W,slaloms,W,623,560,623,TRUE
13,W,oofs,N,NA,560,654,FALSE
21,W,faith,W,597,493,597,TRUE
103,N,ruddince,N,729,535,729,TRUE
43,W,huddled,W,717,557,717,TRUE
2,N,sunshone,W,NA,495,691,FALSE
11,W,strata,W,1004,573,1004,TRUE
17,W,beets,N,NA,672,1115,FALSE
30,W,swung,W,784,561,784,TRUE
2,N,ymphs,N,532,466,532,TRUE
72,N,bozed,N,470,485,470,TRUE
50,W,maunders,N,NA,449,533,FALSE
50,W,beaut,N,NA,924,604,FALSE
35,N,ochish,N,565,399,565,TRUE
9,W,freer,N,NA,1286,727,FALSE
94,N,bevot,N,411,624,411,TRUE
50,N,tomping,N,701,490,701,TRUE
72,N,tyxides,N,820,511,820,TRUE
10,N,fourn,N,930,879,930,TRUE
12,W,coursed,N,NA,1054,3434,FALSE
15,W,cram,W,487,984,487,TRUE
11,N,neak,N,669,674,669,TRUE
32,N,magged,W,NA,629,546,FALSE
67,W,more,W,524,1039,524,TRUE
13,N,erfess,N,590,492,590,TRUE
92,N,fuding,N,657,611,657,TRUE
70,N,fotter,N,478,642,478,TRUE
63,W,moats,N,NA,682,1172,FALSE
89,W,spotters,W,608,594,608,TRUE
90,N,chooking,N,765,708,765,TRUE
97,N,sackclink,N,560,674,560,TRUE
8,W,dumpier,W,558,441,558,TRUE
68,N,destacts,N,708,498,708,TRUE
20,N,rerused,N,518,584,518,TRUE
54,W,puffer,N,NA,582,1972,FALSE
71,N,rerners,N,648,1036,648,TRUE
53,W,hoovers,W,464,595,464,TRUE
98,W,spattered,N,NA,401,1366,FALSE
3,W,cuter,W,781,NA,781,TRUE
90,N,nickdarns,N,590,392,590,TRUE
103,W,showman,W,633,636,633,TRUE
94,W,chortled,W,655,659,655,TRUE
29,W,inmates,W,599,668,599,TRUE
72,W,shocks,W,586,554,586,TRUE
68,N,boaves,N,618,470,618,TRUE
77,W,needed,W,512,394,512,TRUE
29,W,nougat,N,NA,516,501,FALSE
9,W,pursued,W,662,784,662,TRUE
79,W,hostage,W,514,564,514,TRUE
92,W,swotted,N,NA,2019,568,FALSE
75,N,seuds,N,665,537,665,TRUE
37,W,mazed,W,840,636,840,TRUE
16,W,earthworms,W,767,659,767,TRUE
50,W,markers,W,664,852,664,TRUE
35,N,spoton,N,522,721,522,TRUE
88,W,tawny,N,NA,535,856,FALSE
51,N,gember,N,562,598,562,TRUE
63,W,classed,W,706,429,706,TRUE
63,N,clallers,N,401,495,401,TRUE
8,W,pauper,W,734,1126,734,TRUE
2,W,badges,W,485,498,485,TRUE
97,N,foarded,N,802,464,802,TRUE
15,N,thuker,N,411,438,411,TRUE
78,W,congas,N,NA,581,532,FALSE
88,N,fomps,N,495,626,495,TRUE
30,N,ligged,N,701,658,701,TRUE
66,W,paling,W,1177,686,1177,TRUE
32,W,renamed,W,876,541,876,TRUE
28,W,suppress,W,729,653,729,TRUE
75,W,beg,W,559,1544,559,TRUE
88,W,hoaxer,N,NA,664,531,FALSE
72,W,awed,N,NA,1203,1801,FALSE
89,N,tymed,N,596,634,596,TRUE
68,N,wimbed,N,613,465,613,TRUE
90,N,suforal,N,792,787,792,TRUE
7,W,slack,W,521,753,521,TRUE
15,W,woofer,W,627,530,627,TRUE
15,W,griffin,W,622,492,622,TRUE
100,W,tutored,N,NA,339,348,FALSE
103,W,doubloons,N,NA,713,1042,FALSE
14,N,fithing,N,630,816,630,TRUE
53,N,trifess,N,552,1036,552,TRUE
28,N,scracken,N,965,466,965,TRUE
45,N,dord,N,894,708,894,TRUE
44,N,kilsey,N,551,785,551,TRUE
75,W,sued,W,556,873,556,TRUE
54,W,catgut,N,NA,798,899,FALSE
29,N,dirnspong,N,466,445,466,TRUE
70,N,isterns,N,422,451,422,TRUE
78,N,prile,N,442,471,442,TRUE
88,W,cashews,W,982,800,982,TRUE
96,W,gentle,W,484,731,484,TRUE
79,N,yne,N,475,723,475,TRUE
7,N,catmop,N,561,761,561,TRUE
3,W,whetting,N,NA,399,533,FALSE
14,W,yids,N,NA,625,620,FALSE
65,N,sirped,N,490,587,490,TRUE
65,W,outdone,W,1373,608,1373,TRUE
31,W,cop,W,516,531,516,TRUE
75,W,junk,W,606,742,606,TRUE
20,N,spudged,N,750,759,750,TRUE
43,N,erkleme,N,572,873,572,TRUE
17,N,rinch,N,415,426,415,TRUE
13,N,freanish,N,500,498,500,TRUE
17,N,ranor,N,383,576,383,TRUE
37,N,neers,N,412,439,412,TRUE
82,N,stalpirts,N,614,700,614,TRUE
65,N,couts,N,668,540,668,TRUE
89,N,comprone,N,706,547,706,TRUE
22,N,sprush,N,NA,1202,1383,TRUE
13,W,tabled,W,550,783,550,TRUE
68,W,oho,N,NA,633,630,FALSE
64,N,bleatshed,N,634,905,634,TRUE
19,W,dreamworld,N,NA,814,1348,FALSE
103,W,carl,N,NA,1046,1042,FALSE
34,N,lawping,N,406,434,406,TRUE
44,W,brines,W,595,463,595,TRUE
105,N,fragrents,N,NA,1090,2554,TRUE
7,N,rankpay,N,643,530,643,TRUE
18,W,pinpricks,N,NA,405,491,FALSE
32,W,cheeped,N,NA,471,1099,FALSE
12,W,jackals,W,847,793,847,TRUE
97,W,slut,W,662,883,662,TRUE
63,N,fealt,N,518,450,518,TRUE
50,W,tulle,N,NA,585,695,FALSE
18,N,presons,N,NA,610,1087,TRUE
75,N,perklines,N,1750,1184,1750,TRUE
97,W,impairs,W,445,557,445,TRUE
79,W,bipeds,W,754,897,754,TRUE
42,N,screlshers,N,547,681,547,TRUE
97,W,mattress,W,470,517,470,TRUE
55,N,durt,N,561,542,561,TRUE
21,N,tatle,N,749,791,749,TRUE
4,N,warls,N,683,518,683,TRUE
51,W,diesels,W,574,775,574,TRUE
84,N,ishes,N,658,529,658,TRUE
2,W,adverts,W,489,703,489,TRUE
68,W,counties,W,493,491,493,TRUE
46,W,brae,N,NA,644,720,FALSE
71,W,nymphs,W,578,580,578,TRUE
55,N,sowpent,N,625,913,625,TRUE
31,N,wape,N,631,551,631,TRUE
4,W,bulkheads,N,NA,457,509,FALSE
66,W,handlers,W,930,1063,930,TRUE
88,W,frisked,W,735,760,735,TRUE
73,N,choer,N,895,1260,895,TRUE
92,W,schema,W,575,1011,575,TRUE
88,W,kneeled,W,650,787,650,TRUE
1,N,foother,N,789,566,789,TRUE
37,N,flark,N,570,587,570,TRUE
31,N,meel,N,732,640,732,TRUE
43,W,modes,W,NA,693,1519,TRUE
29,W,handing,W,474,654,474,TRUE
20,N,facured,N,604,740,604,TRUE
105,W,cloister,W,1213,707,1213,TRUE
68,N,bracklives,N,1005,475,1005,TRUE
30,N,enskrilled,N,554,637,554,TRUE
55,N,bobies,N,441,436,441,TRUE
19,N,lelcher,N,605,491,605,TRUE
96,N,manken,N,555,439,555,TRUE
81,W,nozzle,W,432,577,432,TRUE
66,W,primus,N,NA,602,520,FALSE
64,N,looth,N,519,686,519,TRUE
5,W,squeezed,W,553,869,553,TRUE
73,N,wibes,W,NA,501,1382,FALSE
2,W,eerie,W,529,478,529,TRUE
19,W,feoffs,N,NA,537,616,FALSE
24,N,muke,N,807,585,807,TRUE
68,N,teaseg,N,492,540,492,TRUE
6,W,warships,W,476,440,476,TRUE
47,N,warnown,N,656,477,656,TRUE
64,W,twined,W,795,474,795,TRUE
37,N,pild,N,523,622,523,TRUE
55,N,aper,N,488,588,488,TRUE
68,W,comer,N,NA,460,704,FALSE
1,W,month,W,500,498,500,TRUE
41,W,heir,W,662,818,662,TRUE
14,W,fiddling,W,546,462,546,TRUE
16,W,begets,N,NA,443,496,FALSE
86,N,mourse,W,NA,571,1051,FALSE
6,N,fockteon,N,552,485,552,TRUE
35,W,scrimp,W,481,628,481,TRUE
34,W,sources,W,479,460,479,TRUE
32,W,knickers,W,464,377,464,TRUE
70,W,outbreaks,W,448,476,448,TRUE
82,N,gamping,N,880,628,880,TRUE
42,W,crocks,W,468,731,468,TRUE
12,W,vowels,W,1282,1347,1282,TRUE
81,N,nigged,W,NA,689,587,FALSE
17,W,skim,W,386,579,386,TRUE
74,N,lalf,N,841,1137,841,TRUE
74,W,straitlaced,N,NA,550,501,FALSE
50,N,taucis,N,619,589,619,TRUE
70,W,scout,W,558,808,558,TRUE
34,N,dreatest,N,783,727,783,TRUE
35,N,murmy,N,634,638,634,TRUE
7,W,stages,W,472,1002,472,TRUE
16,N,handcoke,W,NA,712,1216,FALSE
63,W,capstan,N,NA,757,780,FALSE
31,W,wyvern,W,649,453,649,TRUE
105,W,chink,W,860,759,860,TRUE
75,N,turrings,N,492,507,492,TRUE
52,W,grammars,W,659,547,659,TRUE
92,N,clales,N,1106,1597,1106,TRUE
51,N,gruferies,N,557,357,557,TRUE
18,N,moorwack,N,460,456,460,TRUE
81,W,bloc,N,NA,759,575,FALSE
78,W,directs,W,462,NA,462,TRUE
79,N,joyards,N,672,660,672,TRUE
88,W,stateless,N,NA,505,778,FALSE
15,W,superb,W,646,483,646,TRUE
32,N,pime,N,840,519,840,TRUE
30,N,enache,N,534,501,534,TRUE
36,N,insards,N,734,592,734,TRUE
36,N,eadlarks,N,506,604,506,TRUE
30,W,marquis,W,666,720,666,TRUE
24,N,mesfers,N,478,643,478,TRUE
32,N,yecis,N,667,523,667,TRUE
55,W,breakers,W,564,732,564,TRUE
30,W,snowbound,N,NA,679,576,FALSE
51,N,sprant,N,1192,1202,1192,TRUE
79,N,skyp,N,919,585,919,TRUE
10,W,clung,W,NA,1835,9925,TRUE
100,N,wheetpleads,N,418,429,418,TRUE
88,W,quango,N,NA,1013,482,FALSE
78,W,scold,W,535,636,535,TRUE
10,W,milkmen,W,673,946,673,TRUE
35,N,blear,W,NA,592,461,FALSE
98,W,snoot,N,NA,548,916,FALSE
7,W,shorting,N,NA,571,730,FALSE
4,W,faceless,W,512,478,512,TRUE
101,W,loofah,W,853,633,853,TRUE
19,W,tuber,N,NA,1004,505,FALSE
42,N,smearding,N,696,802,696,TRUE
64,N,gleeking,N,941,1475,941,TRUE
81,N,isade,N,446,459,446,TRUE
7,W,eyesore,W,512,645,512,TRUE
73,W,sips,W,654,609,654,TRUE
42,N,plaicing,N,555,588,555,TRUE
50,W,hawkish,W,858,838,858,TRUE
79,N,vosters,N,560,644,560,TRUE
90,N,clate,N,NA,1051,2199,TRUE
68,N,shooths,N,538,437,538,TRUE
19,W,salesman,W,NA,844,1887,TRUE
64,N,afrome,N,715,522,715,TRUE
82,W,bookplates,W,474,505,474,TRUE
100,N,mocksmess,N,464,394,464,TRUE
46,N,ril,N,533,682,533,TRUE
37,W,gospel,W,596,665,596,TRUE
70,N,freiish,N,543,593,543,TRUE
32,N,sansing,N,465,497,465,TRUE
29,N,girty,N,559,376,559,TRUE
75,W,kind,W,903,1067,903,TRUE
15,N,grufery,N,483,515,483,TRUE
50,N,enache,N,740,898,740,TRUE
29,N,broadfliet,N,617,488,617,TRUE
88,N,soted,N,928,844,928,TRUE
15,W,swindles,W,779,488,779,TRUE
8,W,harpooned,W,584,702,584,TRUE
28,W,muffler,W,938,655,938,TRUE
32,W,bolshy,N,NA,425,414,FALSE
89,W,jury,W,640,543,640,TRUE
92,W,gruelling,W,1066,1771,1066,TRUE
96,W,minks,N,NA,635,582,FALSE
73,N,velve,N,941,1741,941,TRUE
65,N,esspaw,N,645,600,645,TRUE
68,N,inchins,N,613,582,613,TRUE
28,W,enforced,W,854,500,854,TRUE
13,N,cothes,N,543,426,543,TRUE
27,W,mucking,W,708,564,708,TRUE
90,N,tannan,N,428,772,428,TRUE
98,N,dyll,N,396,462,396,TRUE
30,N,bengot,N,586,471,586,TRUE
24,N,codden,N,539,740,539,TRUE
101,N,footful,W,NA,730,786,FALSE
101,W,rut,W,574,591,574,TRUE
73,W,begged,W,640,1044,640,TRUE
75,W,rigours,W,625,1379,625,TRUE
34,N,shecks,N,631,485,631,TRUE
96,N,yeasting,W,NA,865,628,FALSE
17,W,pervades,W,467,731,467,TRUE
101,W,tauter,N,NA,456,668,FALSE
85,W,plunges,W,617,604,617,TRUE
27,N,padge,N,683,672,683,TRUE
97,W,frothed,N,NA,842,797,FALSE
50,W,switchblade,W,714,605,714,TRUE
94,W,teenaged,N,NA,498,772,FALSE
66,W,submersed,W,NA,2199,3029,TRUE
17,W,forbade,N,NA,509,398,FALSE
63,W,spawned,W,567,1018,567,TRUE
5,W,pockmarked,N,NA,572,603,FALSE
22,N,nixel,N,589,508,589,TRUE
13,W,cheapened,W,728,497,728,TRUE
9,W,bellboy,W,883,1547,883,TRUE
67,N,handship,N,NA,628,1361,TRUE
21,N,endays,N,561,547,561,TRUE
20,W,whole,W,544,628,544,TRUE
94,N,fantoys,N,457,486,457,TRUE
89,N,aight,W,NA,649,741,FALSE
50,N,dismakes,N,706,679,706,TRUE
79,W,roebuck,W,1131,740,1131,TRUE
19,W,halloos,N,NA,631,643,FALSE
31,N,preprode,N,787,730,787,TRUE
75,W,rudely,W,599,501,599,TRUE
98,N,unwants,W,NA,613,562,FALSE
101,N,rinch,N,631,651,631,TRUE
7,N,jaked,N,620,523,620,TRUE
50,N,schelfer,N,519,684,519,TRUE
82,N,gasts,N,707,663,707,TRUE
34,W,rascal,W,588,573,588,TRUE
2,W,begins,W,412,423,412,TRUE
22,W,pressmen,N,NA,615,819,FALSE
18,W,quota,W,669,575,669,TRUE
92,W,invite,W,566,884,566,TRUE
79,N,clugged,N,948,497,948,TRUE
74,W,pleach,N,NA,745,738,FALSE
85,N,bextized,N,390,400,390,TRUE
89,N,stumming,W,NA,571,442,FALSE
41,N,backbosks,N,707,513,707,TRUE
101,W,remnants,W,769,612,769,TRUE
20,W,degrade,W,618,755,618,TRUE
2,N,papping,N,521,503,521,TRUE
94,W,cane,W,530,1214,530,TRUE
36,N,proudmess,N,442,553,442,TRUE
98,W,clots,W,560,444,560,TRUE
47,W,outfall,W,524,556,524,TRUE
29,W,stifle,W,664,552,664,TRUE
85,W,hustling,W,700,424,700,TRUE
105,W,downer,W,970,622,970,TRUE
81,N,agift,N,990,476,990,TRUE
10,W,geiger,N,NA,583,789,FALSE
28,N,scetting,N,830,792,830,TRUE
19,W,reflux,W,689,595,689,TRUE
89,N,hockle,W,NA,480,652,FALSE
14,W,flights,W,621,524,621,TRUE
74,N,shiys,N,801,629,801,TRUE
3,N,patchhark,N,446,460,446,TRUE
35,N,ratled,N,819,580,819,TRUE
47,W,tinted,W,665,604,665,TRUE
34,W,stomps,W,614,601,614,TRUE
1,N,dametails,N,694,635,694,TRUE
41,W,apart,W,488,670,488,TRUE
46,N,trime,N,605,441,605,TRUE
34,W,cyclone,W,562,546,562,TRUE
11,N,parvie,N,902,667,902,TRUE
36,N,orthnent,N,628,497,628,TRUE
3,N,complare,N,650,454,650,TRUE
36,W,shipwrecks,W,512,513,512,TRUE
14,W,barrow,W,588,473,588,TRUE
90,N,grouls,N,799,511,799,TRUE
28,W,holland,W,611,431,611,TRUE
24,N,speeces,N,688,644,688,TRUE
67,W,advanced,W,636,641,636,TRUE
22,N,vys,N,530,712,530,TRUE
71,W,walnuts,W,465,646,465,TRUE
47,N,pems,N,888,1003,888,TRUE
71,N,berds,N,389,500,389,TRUE
66,W,rabbis,W,844,656,844,TRUE
63,W,egg,W,547,397,547,TRUE
9,N,mem,N,663,586,663,TRUE
28,N,strynchers,N,543,675,543,TRUE
86,W,shambling,W,838,801,838,TRUE
101,W,swagged,W,818,530,818,TRUE
51,N,jurtex,N,387,513,387,TRUE
12,N,swalming,N,759,534,759,TRUE
7,W,piper,W,566,767,566,TRUE
101,N,majoirs,N,993,579,993,TRUE
15,N,gamppays,N,448,911,448,TRUE
28,W,allays,W,627,947,627,TRUE
15,W,gorgeous,W,535,501,535,TRUE
70,N,lesest,N,616,919,616,TRUE
71,N,eaut,N,495,659,495,TRUE
72,N,catnoms,N,607,461,607,TRUE
81,W,outboard,W,427,471,427,TRUE
44,W,coined,W,382,775,382,TRUE
32,N,nuck,N,535,418,535,TRUE
15,N,woopends,N,532,564,532,TRUE
18,N,spintle,N,590,443,590,TRUE
47,N,nenching,N,723,530,723,TRUE
79,W,wreath,W,495,593,495,TRUE
54,W,snowflakes,W,557,674,557,TRUE
10,W,silks,W,700,589,700,TRUE
10,W,blighters,W,761,553,761,TRUE
6,N,coachlists,W,NA,1830,869,FALSE
18,W,frights,W,573,474,573,TRUE
78,W,class,W,397,608,397,TRUE
11,N,hepped,N,516,431,516,TRUE
82,N,womaning,N,488,469,488,TRUE
97,N,loneprips,N,433,495,433,TRUE
75,N,gefts,N,578,1481,578,TRUE
8,N,spows,N,766,493,766,TRUE
67,W,irk,N,NA,605,570,FALSE
46,N,tatness,N,568,603,568,TRUE
1,N,wintes,N,545,629,545,TRUE
92,N,mekko,N,874,671,874,TRUE
50,W,deadlines,W,1009,1045,1009,TRUE
74,W,campaign,W,495,543,495,TRUE
14,N,joffling,N,427,505,427,TRUE
9,W,commenced,W,580,933,580,TRUE
96,N,sweattrips,N,529,512,529,TRUE
1,N,sinkhicks,N,536,519,536,TRUE
81,W,coming,W,460,555,460,TRUE
4,N,feadle,N,688,578,688,TRUE
43,W,horn,W,424,519,424,TRUE
45,N,tecket,N,827,1423,827,TRUE
65,N,marwin,N,468,499,468,TRUE
6,W,ridged,W,691,2000,691,TRUE
24,N,histcrow,N,530,495,530,TRUE
98,N,affuth,N,471,635,471,TRUE
42,N,sloom,N,496,611,496,TRUE
66,N,anx,N,546,863,546,TRUE
103,W,vino,W,748,673,748,TRUE
1,N,baisees,N,524,574,524,TRUE
71,N,grinath,N,449,444,449,TRUE
9,W,barer,W,590,626,590,TRUE
89,N,scazos,N,488,636,488,TRUE
82,W,transcends,W,585,469,585,TRUE
11,N,tecking,N,565,716,565,TRUE
96,N,swallay,N,543,960,543,TRUE
15,W,shunting,W,494,526,494,TRUE
1,W,abyss,W,629,683,629,TRUE
45,N,coaks,N,698,1004,698,TRUE
20,N,inlit,N,1007,560,1007,TRUE
18,W,dresses,W,462,575,462,TRUE
1,W,gantries,W,644,581,644,TRUE
3,N,pirmly,N,543,410,543,TRUE
2,N,trodges,N,505,521,505,TRUE
20,W,guest,W,576,510,576,TRUE
36,N,soxtet,W,NA,677,576,FALSE
27,W,chagrined,N,NA,604,602,FALSE
75,N,salp,N,1740,557,1740,TRUE
53,W,duelled,W,799,492,799,TRUE
13,W,hellish,W,510,543,510,TRUE
77,N,wancing,N,758,633,758,TRUE
52,W,commend,W,561,546,561,TRUE
67,W,jaunt,W,560,613,560,TRUE
5,W,heave,W,557,591,557,TRUE
10,N,restowed,N,686,493,686,TRUE
15,N,tiped,N,654,508,654,TRUE
22,N,cuess,N,553,520,553,TRUE
98,N,rotord,N,402,497,402,TRUE
37,W,wrenched,W,516,515,516,TRUE
29,N,khandles,N,511,777,511,TRUE
88,N,ixcurs,N,504,552,504,TRUE
50,N,homply,N,518,583,518,TRUE
103,W,baste,W,683,454,683,TRUE
67,W,tall,W,476,572,476,TRUE
45,W,gardens,W,586,1023,586,TRUE
105,W,goldfinch,N,NA,903,775,FALSE
72,W,varmint,N,NA,507,653,FALSE
3,W,lurked,W,537,520,537,TRUE
3,W,village,W,538,522,538,TRUE
17,W,fudge,W,410,437,410,TRUE
